asn,handle,description
269,INCSYS-AS,"Incremental Systems Corporation"
270,AS270,"National Aeronautics and Space Administration"
271,BCNET-AS,BCNET
272,CTNOSC-ASN-272,"Headquarters USAISC"
273,DNIC-AS-00273,"United States Department of Defense (DoD)"
274,AINET-AS274,"American Information Network"
275,NTTA-275,"NTT America Inc"
276,OTS-AS-276,"University of Texas System"
277,DXC-AS277,"DXC US Latin America Corporation"
278,UNIVERSIDAD-NACIONAL-AUTONOMA,"Universidad Nacional Autonoma de Mexico"
279,LVLT-279,"Level 3 Parent LLC"
280,NTTA-280,"NTT America Inc"
281,LVLT-281,"Level 3 Parent LLC"
283,MPOWERLABS,"MPower Labs Inc"
284,UUNET-IPV6,"Verizon Business"
285,DNIC-AS-00285,"Headquarters USAISC"
286,KPN,"GTT Communications Inc"
287,DNIC-AS-00287,"Navy Network Information Center (NNIC)"
288,ESA,"European Space Agency (ESA)"
289,DNIC-AS-00289,"Headquarters USAISC"
290,SHOWNET-AS,"Interop Show Network"
291,ESNET-EAST,ESnet
292,ESNET-WEST,ESnet
293,ESNET,ESnet
294,FRANCE-IP-NET-AS,Renater
295,USTCCLOUD,"United States Department of Defense (DoD)"
296,ACFP-AS,"Air Force Systems Networking"
297,AS297,"National Aeronautics and Space Administration"
298,RADC-LONEX-AS,"Air Force Systems Networking"
299,UCINET-AS,"University of California Irvine"
300,DNIC-AS-00300,"United States Department of Defense (DoD)"
301,C3PO-AS,"Air Force Systems Networking"
302,BCM-INFO-NET-AS,"Baylor College of Medicine"
303,DNIC-AS-00303,"United States Department of Defense (DoD)"
304,SRIEXPRIGNET-AS,"SRI International"
305,DNIC-AS-00305,"Headquarters USAISC"
306,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
307,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
308,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
309,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
310,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
311,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
312,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
313,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
314,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
315,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
316,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
317,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
318,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
319,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
320,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
321,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
322,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
323,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
324,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
325,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
326,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
327,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
328,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
329,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
330,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
331,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
332,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
333,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
334,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
335,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
336,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
337,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
338,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
339,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
340,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
341,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
342,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
343,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
344,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
345,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
346,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
347,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
348,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
349,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
350,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
351,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
352,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
353,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
