asn,handle,description
146427,CERNET,"China Education and Research Network (CERNET)"
146428,CERNET,"China Education and Research Network (CERNET)"
146429,CERNET,"China Education and Research Network (CERNET)"
146430,CERNET,"China Education and Research Network (CERNET)"
146431,CERNET,"China Education and Research Network (CERNET)"
146432,CERNET,"China Education and Research Network (CERNET)"
146433,CERNET,"China Education and Research Network (CERNET)"
146434,CERNET,"China Education and Research Network (CERNET)"
146435,CERNET,"China Education and Research Network (CERNET)"
146436,CERNET,"China Education and Research Network (CERNET)"
146437,CERNET,"China Education and Research Network (CERNET)"
146438,CERNET,"China Education and Research Network (CERNET)"
146439,CERNET,"China Education and Research Network (CERNET)"
146440,CERNET,"China Education and Research Network (CERNET)"
146441,CERNET,"China Education and Research Network (CERNET)"
146442,CERNET,"China Education and Research Network (CERNET)"
146443,CERNET,"China Education and Research Network (CERNET)"
146444,CERNET,"China Education and Research Network (CERNET)"
146445,CERNET,"China Education and Research Network (CERNET)"
146446,CERNET,"China Education and Research Network (CERNET)"
146447,CERNET,"China Education and Research Network (CERNET)"
146448,CERNET,"China Education and Research Network (CERNET)"
146449,CERNET,"China Education and Research Network (CERNET)"
146450,CERNET,"China Education and Research Network (CERNET)"
146451,CERNET,"China Education and Research Network (CERNET)"
146452,CERNET,"China Education and Research Network (CERNET)"
146453,CERNET,"China Education and Research Network (CERNET)"
146454,CERNET,"China Education and Research Network (CERNET)"
146455,CERNET,"China Education and Research Network (CERNET)"
146456,CERNET,"China Education and Research Network (CERNET)"
146457,CERNET,"China Education and Research Network (CERNET)"
146458,CERNET,"China Education and Research Network (CERNET)"
146459,CERNET,"China Education and Research Network (CERNET)"
146460,CERNET,"China Education and Research Network (CERNET)"
146461,CERNET,"China Education and Research Network (CERNET)"
146462,CERNET,"China Education and Research Network (CERNET)"
146463,CERNET,"China Education and Research Network (CERNET)"
146464,CERNET,"China Education and Research Network (CERNET)"
146465,CERNET,"China Education and Research Network (CERNET)"
146466,CERNET,"China Education and Research Network (CERNET)"
146467,CERNET,"China Education and Research Network (CERNET)"
146468,CERNET,"China Education and Research Network (CERNET)"
146469,CERNET,"China Education and Research Network (CERNET)"
146470,CERNET,"China Education and Research Network (CERNET)"
146471,CERNET,"China Education and Research Network (CERNET)"
146472,CERNET,"China Education and Research Network (CERNET)"
146473,CERNET,"China Education and Research Network (CERNET)"
146474,CERNET,"China Education and Research Network (CERNET)"
146475,CERNET,"China Education and Research Network (CERNET)"
146476,CERNET,"China Education and Research Network (CERNET)"
146477,CERNET,"China Education and Research Network (CERNET)"
146478,CERNET,"China Education and Research Network (CERNET)"
146479,CERNET,"China Education and Research Network (CERNET)"
146480,CERNET,"China Education and Research Network (CERNET)"
146481,CERNET,"China Education and Research Network (CERNET)"
146482,CERNET,"China Education and Research Network (CERNET)"
146483,CERNET,"China Education and Research Network (CERNET)"
146484,CERNET,"China Education and Research Network (CERNET)"
146485,CERNET,"China Education and Research Network (CERNET)"
146486,CERNET,"China Education and Research Network (CERNET)"
146487,CERNET,"China Education and Research Network (CERNET)"
146488,CERNET,"China Education and Research Network (CERNET)"
146489,CERNET,"China Education and Research Network (CERNET)"
146490,CERNET,"China Education and Research Network (CERNET)"
146491,CERNET,"China Education and Research Network (CERNET)"
146492,CERNET,"China Education and Research Network (CERNET)"
146493,CERNET,"China Education and Research Network (CERNET)"
146494,CERNET,"China Education and Research Network (CERNET)"
146495,CERNET,"China Education and Research Network (CERNET)"
146496,CERNET,"China Education and Research Network (CERNET)"
146497,CERNET,"China Education and Research Network (CERNET)"
146498,CERNET,"China Education and Research Network (CERNET)"
146499,CERNET,"China Education and Research Network (CERNET)"
146500,CERNET,"China Education and Research Network (CERNET)"
146501,CERNET,"China Education and Research Network (CERNET)"
146502,CERNET,"China Education and Research Network (CERNET)"
146503,CERNET,"China Education and Research Network (CERNET)"
146504,CERNET,"China Education and Research Network (CERNET)"
146505,CERNET,"China Education and Research Network (CERNET)"
146506,CERNET,"China Education and Research Network (CERNET)"
146507,CERNET,"China Education and Research Network (CERNET)"
146508,CERNET,"China Education and Research Network (CERNET)"
146509,CERNET,"China Education and Research Network (CERNET)"
146510,CERNET,"China Education and Research Network (CERNET)"
146511,CERNET,"China Education and Research Network (CERNET)"
146512,CERNET,"China Education and Research Network (CERNET)"
146513,CERNET,"China Education and Research Network (CERNET)"
146514,CERNET,"China Education and Research Network (CERNET)"
146515,CERNET,"China Education and Research Network (CERNET)"
146516,CERNET,"China Education and Research Network (CERNET)"
146517,CERNET,"China Education and Research Network (CERNET)"
146518,CERNET,"China Education and Research Network (CERNET)"
146519,CERNET,"China Education and Research Network (CERNET)"
146520,CERNET,"China Education and Research Network (CERNET)"
146521,CERNET,"China Education and Research Network (CERNET)"
146522,CERNET,"China Education and Research Network (CERNET)"
146523,CERNET,"China Education and Research Network (CERNET)"
146524,CERNET,"China Education and Research Network (CERNET)"
146525,CERNET,"China Education and Research Network (CERNET)"
146526,CERNET,"China Education and Research Network (CERNET)"
146527,CERNET,"China Education and Research Network (CERNET)"
146528,CERNET,"China Education and Research Network (CERNET)"
146529,CERNET,"China Education and Research Network (CERNET)"
146530,CERNET,"China Education and Research Network (CERNET)"
146531,CERNET,"China Education and Research Network (CERNET)"
146532,CERNET,"China Education and Research Network (CERNET)"
146533,CERNET,"China Education and Research Network (CERNET)"
146534,CERNET,"China Education and Research Network (CERNET)"
146535,CERNET,"China Education and Research Network (CERNET)"
146536,CERNET,"China Education and Research Network (CERNET)"
146537,CERNET,"China Education and Research Network (CERNET)"
146538,CERNET,"China Education and Research Network (CERNET)"
146539,CERNET,"China Education and Research Network (CERNET)"
146540,CERNET,"China Education and Research Network (CERNET)"
146541,CERNET,"China Education and Research Network (CERNET)"
146542,CERNET,"China Education and Research Network (CERNET)"
146543,CERNET,"China Education and Research Network (CERNET)"
146544,CERNET,"China Education and Research Network (CERNET)"
146545,CERNET,"China Education and Research Network (CERNET)"
146546,CERNET,"China Education and Research Network (CERNET)"
146547,CERNET,"China Education and Research Network (CERNET)"
146548,CERNET,"China Education and Research Network (CERNET)"
146549,CERNET,"China Education and Research Network (CERNET)"
146550,CERNET,"China Education and Research Network (CERNET)"
146551,CERNET,"China Education and Research Network (CERNET)"
146552,CERNET,"China Education and Research Network (CERNET)"
146553,CERNET,"China Education and Research Network (CERNET)"
146554,CERNET,"China Education and Research Network (CERNET)"
146555,CERNET,"China Education and Research Network (CERNET)"
146556,CERNET,"China Education and Research Network (CERNET)"
146557,CERNET,"China Education and Research Network (CERNET)"
146558,CERNET,"China Education and Research Network (CERNET)"
146559,CERNET,"China Education and Research Network (CERNET)"
146560,CERNET,"China Education and Research Network (CERNET)"
146561,CERNET,"China Education and Research Network (CERNET)"
146562,CERNET,"China Education and Research Network (CERNET)"
146563,CERNET,"China Education and Research Network (CERNET)"
146564,CERNET,"China Education and Research Network (CERNET)"
146565,CERNET,"China Education and Research Network (CERNET)"
146566,CERNET,"China Education and Research Network (CERNET)"
146567,CERNET,"China Education and Research Network (CERNET)"
146568,CERNET,"China Education and Research Network (CERNET)"
146569,CERNET,"China Education and Research Network (CERNET)"
146570,CERNET,"China Education and Research Network (CERNET)"
146571,CERNET,"China Education and Research Network (CERNET)"
146572,CERNET,"China Education and Research Network (CERNET)"
146573,CERNET,"China Education and Research Network (CERNET)"
146574,CERNET,"China Education and Research Network (CERNET)"
146575,CERNET,"China Education and Research Network (CERNET)"
146576,CERNET,"China Education and Research Network (CERNET)"
146577,CERNET,"China Education and Research Network (CERNET)"
146578,CERNET,"China Education and Research Network (CERNET)"
146579,CERNET,"China Education and Research Network (CERNET)"
146580,CERNET,"China Education and Research Network (CERNET)"
146581,CERNET,"China Education and Research Network (CERNET)"
146582,CERNET,"China Education and Research Network (CERNET)"
146583,CERNET,"China Education and Research Network (CERNET)"
146584,CERNET,"China Education and Research Network (CERNET)"
146585,CERNET,"China Education and Research Network (CERNET)"
146586,CERNET,"China Education and Research Network (CERNET)"
146587,CERNET,"China Education and Research Network (CERNET)"
146588,CERNET,"China Education and Research Network (CERNET)"
146589,CERNET,"China Education and Research Network (CERNET)"
146590,CERNET,"China Education and Research Network (CERNET)"
146591,CERNET,"China Education and Research Network (CERNET)"
146592,CERNET,"China Education and Research Network (CERNET)"
146593,CERNET,"China Education and Research Network (CERNET)"
146594,CERNET,"China Education and Research Network (CERNET)"
146595,CERNET,"China Education and Research Network (CERNET)"
146596,CERNET,"China Education and Research Network (CERNET)"
146597,CERNET,"China Education and Research Network (CERNET)"
146598,CERNET,"China Education and Research Network (CERNET)"
146599,CERNET,"China Education and Research Network (CERNET)"
146600,CERNET,"China Education and Research Network (CERNET)"
146601,CERNET,"China Education and Research Network (CERNET)"
146602,CERNET,"China Education and Research Network (CERNET)"
146603,CERNET,"China Education and Research Network (CERNET)"
146604,CERNET,"China Education and Research Network (CERNET)"
146605,CERNET,"China Education and Research Network (CERNET)"
146606,CERNET,"China Education and Research Network (CERNET)"
146607,CERNET,"China Education and Research Network (CERNET)"
146608,CERNET,"China Education and Research Network (CERNET)"
146609,CERNET,"China Education and Research Network (CERNET)"
146610,CERNET,"China Education and Research Network (CERNET)"
146611,CERNET,"China Education and Research Network (CERNET)"
146612,CERNET,"China Education and Research Network (CERNET)"
146613,CERNET,"China Education and Research Network (CERNET)"
146614,CERNET,"China Education and Research Network (CERNET)"
146615,CERNET,"China Education and Research Network (CERNET)"
146616,CERNET,"China Education and Research Network (CERNET)"
146617,CERNET,"China Education and Research Network (CERNET)"
146618,CERNET,"China Education and Research Network (CERNET)"
146619,CERNET,"China Education and Research Network (CERNET)"
146620,CERNET,"China Education and Research Network (CERNET)"
146621,CERNET,"China Education and Research Network (CERNET)"
146622,CERNET,"China Education and Research Network (CERNET)"
146623,CERNET,"China Education and Research Network (CERNET)"
146624,CERNET,"China Education and Research Network (CERNET)"
146625,CERNET,"China Education and Research Network (CERNET)"
146626,CERNET,"China Education and Research Network (CERNET)"
146627,CERNET,"China Education and Research Network (CERNET)"
146628,CERNET,"China Education and Research Network (CERNET)"
146629,CERNET,"China Education and Research Network (CERNET)"
146630,CERNET,"China Education and Research Network (CERNET)"
146631,CERNET,"China Education and Research Network (CERNET)"
146632,CERNET,"China Education and Research Network (CERNET)"
146633,CERNET,"China Education and Research Network (CERNET)"
146634,CERNET,"China Education and Research Network (CERNET)"
146635,CERNET,"China Education and Research Network (CERNET)"
146636,CERNET,"China Education and Research Network (CERNET)"
146637,CERNET,"China Education and Research Network (CERNET)"
146638,CERNET,"China Education and Research Network (CERNET)"
146639,CERNET,"China Education and Research Network (CERNET)"
146640,CERNET,"China Education and Research Network (CERNET)"
146641,CERNET,"China Education and Research Network (CERNET)"
146642,CERNET,"China Education and Research Network (CERNET)"
146643,CERNET,"China Education and Research Network (CERNET)"
146644,CERNET,"China Education and Research Network (CERNET)"
146645,CERNET,"China Education and Research Network (CERNET)"
146646,CERNET,"China Education and Research Network (CERNET)"
146647,CERNET,"China Education and Research Network (CERNET)"
146648,CERNET,"China Education and Research Network (CERNET)"
146649,CERNET,"China Education and Research Network (CERNET)"
146650,CERNET,"China Education and Research Network (CERNET)"
146651,CERNET,"China Education and Research Network (CERNET)"
146652,CERNET,"China Education and Research Network (CERNET)"
146653,CERNET,"China Education and Research Network (CERNET)"
146654,CERNET,"China Education and Research Network (CERNET)"
146655,CERNET,"China Education and Research Network (CERNET)"
146656,CERNET,"China Education and Research Network (CERNET)"
146657,CERNET,"China Education and Research Network (CERNET)"
146658,CERNET,"China Education and Research Network (CERNET)"
146659,CERNET,"China Education and Research Network (CERNET)"
146660,CERNET,"China Education and Research Network (CERNET)"
146661,CERNET,"China Education and Research Network (CERNET)"
146662,CERNET,"China Education and Research Network (CERNET)"
146663,CERNET,"China Education and Research Network (CERNET)"
146664,CERNET,"China Education and Research Network (CERNET)"
146665,CERNET,"China Education and Research Network (CERNET)"
146666,CERNET,"China Education and Research Network (CERNET)"
146667,CERNET,"China Education and Research Network (CERNET)"
146668,CERNET,"China Education and Research Network (CERNET)"
146669,CERNET,"China Education and Research Network (CERNET)"
146670,CERNET,"China Education and Research Network (CERNET)"
146671,CERNET,"China Education and Research Network (CERNET)"
146672,CERNET,"China Education and Research Network (CERNET)"
146673,CERNET,"China Education and Research Network (CERNET)"
146674,CERNET,"China Education and Research Network (CERNET)"
146675,CERNET,"China Education and Research Network (CERNET)"
146676,CERNET,"China Education and Research Network (CERNET)"
146677,CERNET,"China Education and Research Network (CERNET)"
146678,CERNET,"China Education and Research Network (CERNET)"
146679,CERNET,"China Education and Research Network (CERNET)"
146680,CERNET,"China Education and Research Network (CERNET)"
146681,CERNET,"China Education and Research Network (CERNET)"
146682,CERNET,"China Education and Research Network (CERNET)"
146683,CERNET,"China Education and Research Network (CERNET)"
146684,CERNET,"China Education and Research Network (CERNET)"
146685,CERNET,"China Education and Research Network (CERNET)"
146686,CERNET,"China Education and Research Network (CERNET)"
146687,CERNET,"China Education and Research Network (CERNET)"
146688,CERNET,"China Education and Research Network (CERNET)"
146689,CERNET,"China Education and Research Network (CERNET)"
146690,CERNET,"China Education and Research Network (CERNET)"
146691,CERNET,"China Education and Research Network (CERNET)"
146692,CERNET,"China Education and Research Network (CERNET)"
146693,CERNET,"China Education and Research Network (CERNET)"
146694,CERNET,"China Education and Research Network (CERNET)"
146695,CERNET,"China Education and Research Network (CERNET)"
146696,CERNET,"China Education and Research Network (CERNET)"
146697,CERNET,"China Education and Research Network (CERNET)"
146698,CERNET,"China Education and Research Network (CERNET)"
146699,CERNET,"China Education and Research Network (CERNET)"
146700,CERNET,"China Education and Research Network (CERNET)"
146701,CERNET,"China Education and Research Network (CERNET)"
146702,CERNET,"China Education and Research Network (CERNET)"
146703,CERNET,"China Education and Research Network (CERNET)"
146704,CERNET,"China Education and Research Network (CERNET)"
146705,CERNET,"China Education and Research Network (CERNET)"
146706,CERNET,"China Education and Research Network (CERNET)"
146707,CERNET,"China Education and Research Network (CERNET)"
146708,CERNET,"China Education and Research Network (CERNET)"
146709,CERNET,"China Education and Research Network (CERNET)"
146710,CERNET,"China Education and Research Network (CERNET)"
146711,CERNET,"China Education and Research Network (CERNET)"
146712,CERNET,"China Education and Research Network (CERNET)"
146713,CERNET,"China Education and Research Network (CERNET)"
146714,CERNET,"China Education and Research Network (CERNET)"
146715,CERNET,"China Education and Research Network (CERNET)"
146716,CERNET,"China Education and Research Network (CERNET)"
146717,CERNET,"China Education and Research Network (CERNET)"
146718,CERNET,"China Education and Research Network (CERNET)"
146719,CERNET,"China Education and Research Network (CERNET)"
146720,CERNET,"China Education and Research Network (CERNET)"
146721,CERNET,"China Education and Research Network (CERNET)"
146722,CERNET,"China Education and Research Network (CERNET)"
146723,CERNET,"China Education and Research Network (CERNET)"
146724,CERNET,"China Education and Research Network (CERNET)"
146725,CERNET,"China Education and Research Network (CERNET)"
146726,CERNET,"China Education and Research Network (CERNET)"
146727,CERNET,"China Education and Research Network (CERNET)"
146728,CERNET,"China Education and Research Network (CERNET)"
146729,CERNET,"China Education and Research Network (CERNET)"
146730,CERNET,"China Education and Research Network (CERNET)"
146731,CERNET,"China Education and Research Network (CERNET)"
146732,CERNET,"China Education and Research Network (CERNET)"
146733,CERNET,"China Education and Research Network (CERNET)"
146734,CERNET,"China Education and Research Network (CERNET)"
146735,CERNET,"China Education and Research Network (CERNET)"
146736,CERNET,"China Education and Research Network (CERNET)"
146737,CERNET,"China Education and Research Network (CERNET)"
146738,CERNET,"China Education and Research Network (CERNET)"
146739,CERNET,"China Education and Research Network (CERNET)"
146740,CERNET,"China Education and Research Network (CERNET)"
146741,CERNET,"China Education and Research Network (CERNET)"
146742,CERNET,"China Education and Research Network (CERNET)"
146743,CERNET,"China Education and Research Network (CERNET)"
146744,CERNET,"China Education and Research Network (CERNET)"
146745,CERNET,"China Education and Research Network (CERNET)"
146746,TAIKANG-INSURANCE-WUHAN,"TaiKang Insurance Group CO. LTD. Wuhan Operating Center"
146747,WXYG,"Wuxiang Cloud Valley Co. Ltd"
146748,WXYG,"Wuxiang Cloud Valley Co. Ltd"
146749,WXYG,"Wuxiang Cloud Valley Co. Ltd"
146750,WXYG,"Wuxiang Cloud Valley Co. Ltd"
146751,WXYG,"Wuxiang Cloud Valley Co. Ltd"
146752,HZSWNET,"Hangzhou binjiang jiangling road dongfangshangwu huiguan room 1616"
146753,KGNET,kgzxnet
146754,ZZITO,"Beijing ZhiZhu Information Technology Outsourcing Service Co. Ltd"
146755,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146756,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146757,NXIXP,"Ningxia Zhongwei New Internet Exchange Center Co. Ltd"
146758,SENSETIME,"ShangHai Sensetime Technology Development Co. Ltd"
146759,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146760,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146761,SHIXP,"NATIONAL(SHANGHAI) NEW-TYPE INTERNET EXCHANGE POINT"
146762,SHIXP,"NATIONAL(SHANGHAI) NEW-TYPE INTERNET EXCHANGE POINT"
146763,HANS-GLO,"Han's Global Technology Co. Ltd"
146764,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146765,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146766,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146767,XINSAICLOUD,"Shanghai Xinsai Cloud Computing Technology Co. LTD"
146768,MA-GLOBAL-NET,"Unified Identification Code Registration Management Center Co. Ltd"
146769,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146770,GD-DG-EGOV,"Dongguan Government Service Data Administration Bureau"
146771,CCBFT,"CCB Fintech Co. Ltd"
146772,PENGCHENGNET,"Shenzhen Pengcheng communication network Co. Ltd"
146773,WJHTEDU,"Beijing WangJu Interworking Information Technology Co. LTD"
146774,F1ST,"Hardcore Communication Co"
146775,DFL,"Dongfeng MOTOR COMPANY LIMITED"
146776,ETOWN,"BEI JING BDA NETWORK &INFORMATION CO. LTD"
146777,DYFHNET,"Beijing Deyuan Fanghui Technology Development Co. Ltd"
146778,BGBIGDATA,"Beijing BG-SUGON Big Data Co. Ltd"
146779,SMARTBC,"Tianjin SmartBC Network Technology Co. Ltd"
146780,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146781,SKYUNNET,"Beijing Sankuai Cloud Computing Co. Ltd"
146782,UCASS,"University Of Chinese Academy Of Social Sciences"
146783,FUNDET,"Shandong Future Interconnect-Tech Co. Ltd"
146784,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146785,MENGNIAO,"Sichuan Mengniao Cloud Computing Co. Ltd"
146786,CONICLOUD,"Conicloud Communication Service Co. Ltd"
146787,JIANGWAN,"Hengyang Jiangwan Network Technology Co. Ltd"
146788,CHINA-BROADNET,"China Broadcasting Network Co. Ltd"
146789,ZJSHIE,"Zhejiang Sihe Intelligent Engineering Co. LTD"
146790,DEWUAPP,"Shanghai Shizhi Information Technology Co. LTD"
146791,BJKSCNET,"Beijing Kingsoft Cloud Internet Technology Co. Ltd"
146792,SHENFU-CN,"Shanghai Shenfu Information Technology Co. Ltd"
146793,UXCONNECT,"Shanghai Youxun Industrial Co. Ltd"
146794,ETCLUD,"Zhejing Yitian cloud Information Technology Co. Ltd"
146795,WZYFNET,"Wenzhou Yunfeng Network Technology Co. Ltd"
146796,SHJCNET,"Shanghai Jingchen Technology Co. Ltd"
146797,UCACHE,"Beijing micro network cohesionnetwork science and technologylimited company"
146798,GZYWT,"Guangdong New Concept Network Co. Ltd"
146799,BSHH-CN,"BSB Home Appliances Holding China Co. Ltd"
146800,GZZHURUI,"Guangzhou Zhurui Information Technology Co. Ltd"
146801,BSHH-CN,"BSB Home Appliances Holding China Co. Ltd"
146802,CBN-YN,"China Broadcasting Network Yunnan Co. Ltd"
146803,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146804,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146805,YTBIGDATA,"Yantai Municipal Big Data Bureau"
146806,CLOUD-UNICOM-NET,"Beijing Yunlian Interactive Technology Co. Ltd"
146807,DC-SCIENCE,"Shanghai Data Center Science Co. Ltd"
146808,YRJL,"Beijing Youranjingling Culture Co. Ltd"
146809,JSAFT,"Jiangsu Anfutong Information Technology Co. Ltd"
146810,HPE-SDWAN-SHC,"Shanghai Hewlett-Packard Co. Ltd. Dalian Branch"
146811,BQYNET,"Beijing Beiqing Cloud Technology Co. Ltd"
146812,DBCN-WEB,"Deutsche Bank (China) Co. Ltd. Shanghai Branch"
146813,SUIJI,"Shanghai Suiji Networks Tech. Co. Ltd"
146814,HKUST-GZ,"Hong Kong University of Science and Technology Dongchung Town"
146815,QDZHNET,"Qingdao Zhonghai Dilian Information Technology Co. Ltd"
146816,MOUTAICHINA,"Guizhou Moutai Winery (Group) Co. Ltd"
146817,FXNET,"Hubei Feixun Network Co. Ltd"
146818,SINOCHEM,"Sinochem Corporation"
146819,NSCC-TJ,"TianHe Computer Technology Limited Company In TianJin"
146820,MOHURD,"Ministry of Housing and Urban-Rural Development Information"
146821,CHINABTN,"China Broadcasting TV Net"
146822,CHINANET-XINFU,"Shenzhenshi Zhongyun Shujujishu Youxiangongsi"
146823,HYSJH-HUNAN,"Hunan Huayun Data Lake Information Technology Co. LTD"
146824,GDXNET,"GOLD SEA COMMUNICATIONS CO. LTD"
146825,QHYRT,"Qinghai yunruantong cloud computing Co. Ltd"
146826,LNKXNET,"Liaoning Kaixun Cloud Co. Ltd"
146827,BJXTCNNET,"Beijing XunTong Communication Service Co. Ltd"
146828,COMMRUN,"Hunan Commrun Intelligent Technology Co. Ltd"
146829,SIHE-SCCC,"Sichuan Sihe Cloud Computing Co. Ltd"
146830,XUNYOU,"SiChuan XunYou Network Technologe Limit co"
146831,XUNYOU,"SiChuan XunYou Network Technologe Limit co"
146832,XUNYOU,"SiChuan XunYou Network Technologe Limit co"
146833,XUNYOU,"SiChuan XunYou Network Technologe Limit co"
146834,XUNYOU,"SiChuan XunYou Network Technologe Limit co"
146835,CQINDEX-COM,"Nanchang index technology development Co. LTD"
146836,CHINA-INTERNET-NETWORK,"China Internet Network Information Center"
146837,BACKBONE-HSNETWORK,"HS network(Beijing) Telecommunication Co. Ltd"
146838,CHINABTN,"China Broadcasting TV Net"
146839,PARTICLE-LIGHTSPEED,"HUITIAN NETWORK TECHNOLOGY CO. LTD"
146840,CCDC-NET,"Hefei City Cloud Data Center Co. Ltd"
146841,GIANTDC,"Tianjin GiantDC Data Technology Co.Ltd"
146842,CDC-SAP-DC-SHA,"ChinaDataCom Corporation Limited"
146843,SIHE-HNIT,"Haining Sihe Intelligent Technology Co. Ltd"
146844,BCM,"Bank of Communications"
146845,LJNET,"Shanghai Longjing Information Technology Co. Ltd"
146846,COMNET24-AS-IN,"COMTEL NETWORKS PRIVATE LIMITED"
146847,BRISKCOM-AS-IN,"BRISKCOM INFOWAY PRIVATE LIMITED"
146848,NIXI,NIXI
146849,HSNPL-AS-IN,"HS NETWORKS PRIVATE LIMITED"
146850,PDPL-AS-IN,"PUNE DIGITALIZATION PVT LTD"
146851,MANSUKH-AS-IN,"MANSUKH SECURITIES AND FINANCE LIMITED"
146852,SBSYSTEMS-AS-IN,SBSYSTEMS
146853,BLUENET-AS-IN,"BLUENET BROADBAND SERVICES PRIVATE LIMITED"
146854,HASINICOM-AS-IN,"HASINI COMMUNICATONS"
146855,MEGHLINK-AS-IN,"MEGHLINK INDIA LLP"
146856,FEBNET-AS-IN,"Fabnet Services Private Limited"
146857,YOLOIN-AS-IN,"YOLO INFRA SOLUTIONS"
146858,NEWAGE-AS-IN,"NEWAGE MEDIA AND VENTURES PRIVATE LIMITED"
146859,ABSOLUTE-AS-IN,"Absolute Networks Pvt Ltd"
146860,SKYMEDIA-AS-IN,"Skytech Mediacom Opc Private Limited"
146861,FLYFAST-AS-IN,"Flyfast Connections Private Limited"
146862,SUDHANA12-AS-IN,"SUDHANA TELECOM"
146863,SHYAMDATA-AS-IN,"SHYAM DATA AND VOICE SERVICES PVT LTD"
146864,MEGNET1-IN-AS,MEGNET
146865,STIPL-AS-IN,"Sporada Technologies India Private Limited"
146866,SAMRUDDHI-AS-IN,"SAMRUDDHI COMMUNICATION PRIVATE LIMITED"
146867,AUTHENTECH-AS-IN,"AUTHENTECH SOFTWARE"
146868,LTPVTH-AS-IN,"LOGICLABS TECHNOLOGIES PRIVATE LIMITED"
146869,SPARKINT-AS-IN,"SPARKLIGHT INTERNET PRIVATE LIMITED"
146870,TJSB-AS-IN,"TJSB SAHAKARI BANK LTD"
146871,MRVPL-AS-IN,"MANAV RACHNA VIDYANATARIKSHA PRIVATE LIMITED"
146872,SUJATHAJS-AS,"Weblink Systems Private Limited"
146873,NETLINK51-AS-IN,"NETLINK TELECOM PVT LTD"
146874,INFYNIXD-AS-IN,"INFYNIX DATA SERVICES PRIVATE LIMITED"
146875,GULB2021-AS-IN,"GULBARGA NET INTERNET CABLE SERVICE"
146876,TSIP-IN,"PIONEER DIGITAL TV PRIVATE LIMITED"
146877,GIGAFIBER-AS,"GIGA FIBERNET"
146878,CLOUDENT-AS,"CLOUDTECHTIQ ENTERPRISES PRIVATE LIMITED"
146879,LSIPL-AS-IN,"LOWES SERVICES INDIA PRIVATE LIMITED"
146880,VIPLI-AS,"Velankani Infrastructure Private Limited"
146881,DAANCOMM-AS,"DAAN COMMUNICATIONS PRIVATE LMITED"
146882,SAKSHAM1-AS-IN,"SAKSHAM TELECOM PRIVATE LIMITED"
146883,NPRSQUARE-AS-IN,"NPRSQUARE INET SOLUTIONS PVT LTD"
146884,SKYCOMN-AS,"SKYCOMM INTERNET SERVICES PRIVATE LIMITED"
146885,PIONEERTV-AS-IN,"PIONEER DIGITAL TV PRIVATE LIMITED"
146886,HCLCIT-AS,"HCL Corporation Private Limited"
146887,NIXI,NIXI
146888,CLOUD8IN-AS-IN,"Cloud8In Technologies Private Limited"
146889,GURUNATH-AS,"SHIV SHAMBHO CABLE NETWORK"
146890,SHARVA-AS-IN,"SHARVA TELENET PRIVATE LIMITED"
146891,SMSELAB-AS,"SMS ELAB PRIVATE LIMITED"
146892,PLANET-AS-IN,"Planet Digital Networks Private Limited"
146893,SHAKTIENT-AS,"SHAKTI ENTERPRISES"
146894,AS146894-AS-IN,"Au Networks Pvt Ltd"
146895,WSI-AS-IN,"WORLDSHORE INFOCOM PVT LTD"
146896,HRMTPL-AS-IN,"HRM TECHNOLOGIES PVT LTD"
146897,QSPACE-AS-IN,"Vertoz Limited"
146898,HBROSB-AS-IN,"HBROS BROADBAND PVT LTD"
146899,CLOUDNINE-AS-IN,"Trivnet Networks Pvt Ltd"
146900,TRISHA-AS-IN,"TRISHA ENTERPRISES"
146901,PRSHREE-AS-IN,"PR SHREE NETWORKS PRIVATE LIMITED"
146902,BIGVENTUR-AS-IN,"BIGVENTURES MEDIA PVT LTD"
146903,VORRUCKEN-AS-IN,"VORRUCKEN NETWORKS PRIVATE LIMITED"
146904,MGPL-AS-IN,"MICRONET GIGAFIBER PRIVATE LIMITED"
146905,NETAREA-AS,"NETAREA TECHNOLOGIES PRIVATE LIMITED"
146906,BHAGYA-AS,"BhagyaStore Pvt Ltd"
146907,MBECL-AS,"MCNALLY BHARAT ENGINEERING COMPANY LIMITED"
146908,INTERCITY-AS-IN,"INTERCITY FIBER NETWORKS PRIVATE LIMITED"
146909,BHAKTI03-AS-IN,"BHAKTI CABLE AND BROADBAND SERVICES PVT LTD"
146910,ANILSOFT-AS,"Softnet Netsol"
146911,CINFOGEN-AS,"CINFOGEN PRIVATE LIMITED"
146912,SKYNETCOMPUTER-AS,"SKYNET COMPUTER"
146913,ITCS-AS,"Itcare Solutions"
